	ENSEMBL	SYMBOL	logFC	logCPM	PValue	FDR
354	ENSG00000142515	KLK3	-15.31902069	13.24067846	7.59E-141	1.72E-136
5349	ENSG00000089356	FXYD3	-9.775542693	6.837808714	1.17E-133	1.32E-129
56000	ENSG00000147206	NXF3	9.510987924	6.485256906	2.27E-131	1.72E-127
23532	ENSG00000185686	PRAME	11.04023131	6.530675088	1.97E-125	1.12E-121
101927671	ENSG00000166917	MIR202HG	10.50543578	7.135960314	2.86E-114	1.30E-110
89885	ENSG00000147378	FATE1	11.19934332	6.688838927	3.48E-113	1.31E-109
340547	ENSG00000101842	VSIG1	9.41374685	6.670154023	8.71E-113	2.82E-109
8277	ENSG00000007350	TKTL1	9.854147692	7.350819837	4.56E-109	1.29E-105
5317	ENSG00000081277	PKP1	-9.218705499	6.49797248	4.97E-108	1.25E-104
7179	ENSG00000274391	TPTE	12.51761448	6.684237645	7.30E-100	1.65E-96
10481	ENSG00000159184	HOXB13	-10.73894629	7.548988324	9.20E-98	1.89E-94
80736	ENSG00000204385	SLC44A4	-8.143984271	8.075825705	2.95E-96	5.57E-93
9622	ENSG00000167749	KLK4	-10.52356339	8.070747481	3.03E-94	5.29E-91
346288	ENSG00000154997	SEPTIN14	13.0476928	5.219488203	2.40E-93	3.65E-90
3852	ENSG00000186081	KRT5	-8.287197702	6.743281178	2.42E-93	3.65E-90
6847	ENSG00000198765	SYCP1	13.86632313	6.034647308	6.55E-91	9.27E-88
1761	ENSG00000137090	DMRT1	12.95325835	5.125584054	7.51E-91	1.00E-87
1364	ENSG00000189143	CLDN4	-7.727539094	6.631785614	1.85E-90	2.32E-87
999	ENSG00000039068	CDH1	-8.103633922	8.088552563	2.66E-88	3.17E-85
56154	ENSG00000133863	TEX15	10.26406932	6.136275593	8.81E-88	9.98E-85
23349	ENSG00000122733	PHF24	7.68101153	5.977978401	1.09E-83	1.18E-80
83876	ENSG00000134042	MRO	7.059054186	5.935937453	2.54E-83	2.62E-80
7804	ENSG00000157193	LRP8	4.837363354	6.517490172	1.34E-82	1.32E-79
4070	ENSG00000184292	TACSTD2	-8.570892493	7.146256515	5.70E-82	5.38E-79
54514	ENSG00000152670	DDX4	15.15760186	7.323216374	1.87E-80	1.69E-77
124220	ENSG00000162078	ZG16B	-6.99920689	5.740127045	1.23E-78	1.07E-75
139135	ENSG00000166049	PASD1	12.57491523	4.749774703	7.24E-78	6.08E-75
284217	ENSG00000101680	LAMA1	5.581754536	5.544248429	1.30E-77	1.05E-74
1128	ENSG00000168539	CHRM1	-9.374332261	5.489403007	1.62E-77	1.27E-74
85414	ENSG00000158715	SLC45A3	-7.811851122	10.04435643	8.66E-77	6.54E-74
27120	ENSG00000104901	DKKL1	7.177028191	5.359817285	2.36E-76	1.73E-73
221883	ENSG00000240990	HOXA11-AS	-8.315059124	5.254969628	6.01E-76	4.26E-73
7113	ENSG00000184012	TMPRSS2	-8.782363744	9.495074201	2.62E-75	1.80E-72
84958	ENSG00000142765	SYTL1	-5.831392667	6.31177772	2.74E-75	1.83E-72
83639	ENSG00000131126	TEX101	11.56304462	5.7370461	3.14E-75	2.03E-72
10734	ENSG00000066923	STAG3	4.965438849	6.721363701	8.96E-74	5.64E-71
79977	ENSG00000083307	GRHL2	-8.115797341	6.275431721	1.79E-72	1.10E-69
5652	ENSG00000052344	PRSS8	-7.372073542	5.83272752	1.83E-71	1.09E-68
1999	ENSG00000163435	ELF3	-7.744841677	6.234219443	3.07E-71	1.79E-68
121355	ENSG00000170627	GTSF1	10.73276203	5.712568971	4.60E-71	2.60E-68
10382	ENSG00000104833	TUBB4A	7.815558265	5.774699472	7.22E-71	3.99E-68
196477	ENSG00000197651	CCER1	12.88226189	5.054988459	2.60E-70	1.39E-67
79098	ENSG00000182795	C1orf116	-8.007653186	7.188841566	2.64E-70	1.39E-67
26872	ENSG00000164647	STEAP1	-5.34063277	6.253602768	1.27E-69	6.53E-67
285429	ENSG00000182308	DCAF4L1	7.970623641	6.003875413	3.83E-69	1.93E-66
154150	ENSG00000112273	HDGFL1	12.26854384	6.440903258	4.50E-69	2.21E-66
8852	ENSG00000147081	AKAP4	12.56748176	7.539017666	5.85E-69	2.82E-66
3640	ENSG00000248099	INSL3	6.702195359	5.916547801	5.34E-68	2.52E-65
27127	ENSG00000077935	SMC1B	7.704590299	5.950090425	7.10E-68	3.28E-65
2810	ENSG00000175793	SFN	-8.902142109	5.228212372	2.36E-67	1.07E-64
399948	ENSG00000196167	COLCA1	-4.454809478	6.501341873	1.75E-66	7.77E-64
3623	ENSG00000123999	INHA	5.604006225	5.837089323	2.30E-66	1.00E-63
84072	ENSG00000143452	HORMAD1	12.23619596	6.408828555	1.63E-65	6.96E-63
1618	ENSG00000092345	DAZL	10.01751296	6.83338375	4.33E-65	1.82E-62
57126	ENSG00000204936	CD177	-9.305637833	5.626499394	7.03E-65	2.90E-62
2649	ENSG00000148200	NR6A1	5.654665317	6.089147702	9.56E-64	3.87E-61
84944	ENSG00000143194	MAEL	7.385675125	6.767029092	1.41E-63	5.61E-61
4852	ENSG00000122585	NPY	-9.930996849	6.586725642	2.09E-63	8.17E-61
563	ENSG00000160862	AZGP1	-5.763793519	9.7701924	3.05E-63	1.17E-60
100329135	ENSG00000204025	TRPC5OS	10.04598051	5.034647855	4.65E-63	1.76E-60
50945	ENSG00000122145	TBX22	8.555912571	4.440047176	7.21E-63	2.68E-60
8482	ENSG00000138623	SEMA7A	5.408619544	6.314206949	7.66E-63	2.80E-60
148327	ENSG00000143578	CREB3L4	-4.671677492	6.958224734	1.00E-62	3.61E-60
57111	ENSG00000132698	RAB25	-7.013892008	4.490709031	1.72E-62	6.08E-60
3081	ENSG00000113924	HGD	-8.361483387	5.300726109	2.10E-62	7.33E-60
124626	ENSG00000186075	ZPBP2	10.885124	6.380943591	4.62E-62	1.59E-59
347442	ENSG00000189186	DCAF8L2	10.54138688	4.718819769	2.87E-61	9.72E-59
65009	ENSG00000103034	NDRG4	5.184326666	6.842395783	3.09E-61	1.03E-58
5620	ENSG00000122304	PRM2	14.04654978	9.904681883	4.14E-61	1.36E-58
247	ENSG00000179593	ALOX15B	-8.151911715	7.126535778	4.53E-61	1.47E-58
219990	ENSG00000149507	OOSP2	12.05859127	4.238110281	4.71E-61	1.50E-58
83853	ENSG00000145491	ROPN1L	11.54895824	6.526139143	6.35E-61	2.00E-58
138009	ENSG00000176566	DCAF4L2	12.90872227	5.081253887	6.55E-61	2.03E-58
4113	ENSG00000099399	MAGEB2	10.35446124	4.533456164	9.44E-61	2.89E-58
23089	ENSG00000242265	PEG10	4.449000598	7.528955802	1.37E-60	4.15E-58
84283	ENSG00000163472	TMEM79	-4.418804334	5.95949592	2.15E-60	6.42E-58
4103	ENSG00000147381	MAGEA4	9.984054196	4.16499586	5.32E-60	1.57E-57
1993	ENSG00000107105	ELAVL2	7.318161573	5.916031491	7.13E-60	2.07E-57
64180	ENSG00000141096	DPEP3	8.635281306	5.272836984	9.58E-60	2.75E-57
146225	ENSG00000140932	CMTM2	9.783087293	6.900647457	1.47E-59	4.15E-57
2626	ENSG00000136574	GATA4	8.047956669	5.63759987	1.85E-59	5.17E-57
284257	ENSG00000228075	BOD1L2	13.41175236	8.377615672	1.98E-59	5.48E-57
6926	ENSG00000135111	TBX3	-5.812571662	8.044633612	2.49E-59	6.81E-57
4477	ENSG00000263639	MSMB	-11.05038446	10.13921404	3.21E-59	8.66E-57
51438	ENSG00000046774	MAGEC2	12.16598121	4.344368621	7.84E-59	2.09E-56
11063	ENSG00000039600	SOX30	7.289820335	6.240497517	1.18E-58	3.11E-56
158521	ENSG00000176988	FMR1NB	11.95787271	4.138512721	1.36E-58	3.55E-56
23541	ENSG00000100003	SEC14L2	-4.793098724	5.899755127	1.42E-58	3.67E-56
388951	ENSG00000178021	TSPYL6	10.98261383	5.156781627	2.27E-58	5.77E-56
84643	ENSG00000141200	KIF2B	13.7856926	5.954228937	3.15E-58	7.93E-56
55503	ENSG00000165125	TRPV6	-6.208936045	7.006277281	3.44E-58	8.58E-56
1534	ENSG00000008283	CYB561	-4.011046779	7.228095134	4.19E-58	1.03E-55
9066	ENSG00000011347	SYT7	-4.503574335	7.408821095	8.03E-58	1.96E-55
22974	ENSG00000088325	TPX2	5.436279959	5.722218063	1.15E-57	2.78E-55
152404	ENSG00000144847	IGSF11	6.226082757	5.307605962	1.39E-57	3.32E-55
124535	ENSG00000176160	HSF5	10.37882784	6.546266979	1.53E-57	3.62E-55
10880	ENSG00000148156	ACTL7B	13.53509091	5.704526309	2.58E-57	6.03E-55
6954	ENSG00000124678	TCP11	11.88035458	7.760832313	2.96E-57	6.85E-55
2065	ENSG00000065361	ERBB3	-4.540127907	6.872549875	3.65E-57	8.34E-55
23627	ENSG00000171864	PRND	9.338108056	7.618278773	7.18E-57	1.63E-54
4956	ENSG00000155087	ODF1	13.83173026	6.000109547	1.16E-56	2.61E-54
7433	ENSG00000114812	VIPR1	-4.556815219	5.689878878	1.63E-56	3.62E-54
676	ENSG00000137948	BRDT	11.84058555	7.343258804	1.71E-56	3.76E-54
51533	ENSG00000010318	PHF7	7.610530229	9.920669744	5.11E-56	1.11E-53
57476	ENSG00000023171	GRAMD1B	4.186946585	5.575697063	5.14E-56	1.11E-53
9947	ENSG00000155495	MAGEC1	11.78562231	3.968346114	1.07E-55	2.28E-53
150696	ENSG00000155066	PROM2	-6.042642637	5.794411576	1.26E-55	2.67E-53
10642	ENSG00000159217	IGF2BP1	8.582251011	4.458878986	1.61E-55	3.38E-53
3169	ENSG00000129514	FOXA1	-8.517148686	7.669330745	2.30E-55	4.77E-53
81626	ENSG00000157060	SHCBP1L	12.72116788	6.885339943	2.35E-55	4.85E-53
26256	ENSG00000154040	CABYR	6.98321188	7.092392179	2.34E-54	4.78E-52
3861	ENSG00000186847	KRT14	-8.479893764	4.060289368	2.68E-54	5.42E-52
81616	ENSG00000130377	ACSBG2	9.953116595	6.92290556	3.16E-54	6.33E-52
3817	ENSG00000167751	KLK2	-9.055793809	12.00320625	3.20E-54	6.35E-52
6563	ENSG00000141469	SLC14A1	-9.785223911	6.845215043	3.22E-54	6.35E-52
245936	ENSG00000180424	DEFB123	9.738628431	3.922643003	3.95E-54	7.72E-52
146439	ENSG00000162069	BICDL2	-7.57467372	4.389519665	4.00E-54	7.75E-52
124773	ENSG00000141371	C17orf64	12.87803407	5.050725822	5.39E-54	1.03E-51
3948	ENSG00000166796	LDHC	12.34240935	7.313389701	5.81E-54	1.11E-51
127540	ENSG00000176256	HMGB4	14.35054927	6.517525638	6.61E-54	1.25E-51
140690	ENSG00000124092	CTCFL	9.240511496	4.226746303	1.00E-53	1.88E-51
1496	ENSG00000066032	CTNNA2	8.025516804	4.863352034	1.41E-53	2.62E-51
7163	ENSG00000076554	TPD52	-4.310908313	7.095463488	1.62E-53	2.98E-51
644041	ENSG00000206043	C18orf63	12.21430613	4.392189981	2.02E-53	3.68E-51
152405	ENSG00000163424	TEX55	13.08367347	5.255178562	2.78E-53	5.03E-51
257169	ENSG00000157653	C9orf43	6.297320604	5.046694655	4.00E-53	7.20E-51
7278	ENSG00000198033	TUBA3C	12.35534436	7.836311187	4.15E-53	7.41E-51
83445	ENSG00000111305	GSG1	11.87722742	6.845512005	4.19E-53	7.42E-51
3209	ENSG00000106031	HOXA13	-8.096163854	6.020507745	5.73E-53	1.01E-50
27092	ENSG00000075461	CACNG4	-5.67263419	4.80823012	9.61E-53	1.67E-50
2712	ENSG00000196475	GK2	11.7620125	5.929013875	1.04E-52	1.80E-50
5232	ENSG00000170950	PGK2	14.45347416	6.620224843	1.09E-52	1.88E-50
131405	ENSG00000206557	TRIM71	8.844015112	4.719331104	1.67E-52	2.85E-50
85415	ENSG00000131941	RHPN2	-5.457829807	6.057434931	1.75E-52	2.96E-50
84513	ENSG00000147535	PLPP5	-3.646596949	6.953127622	1.98E-52	3.33E-50
699	ENSG00000169679	BUB1	6.076196253	6.087218019	2.37E-52	3.95E-50
5161	ENSG00000163114	PDHA2	12.78307592	4.956362079	4.25E-52	7.02E-50
162083	ENSG00000234186	C16orf82	14.51494527	6.681569346	5.38E-52	8.84E-50
56311	ENSG00000106013	ANKRD7	11.0829245	8.58173491	6.48E-52	1.06E-49
25803	ENSG00000124664	SPDEF	-9.664015519	7.455276064	1.03E-51	1.66E-49
4291	ENSG00000178053	MLF1	5.483989228	7.356439304	1.92E-51	3.08E-49
190	ENSG00000169297	NR0B1	8.475874843	3.988323461	3.08E-51	4.91E-49
140883	ENSG00000275004	ZNF280B	4.187764532	5.709259051	5.96E-51	9.44E-49
1577	ENSG00000106258	CYP3A5	-5.629425077	4.712089046	1.05E-50	1.65E-48
11086	ENSG00000168594	ADAM29	11.23597728	5.40538846	1.82E-50	2.84E-48
23007	ENSG00000114805	PLCH1	5.507950868	5.153668171	1.94E-50	3.00E-48
132612	ENSG00000164113	ADAD1	12.01683089	6.182644208	2.55E-50	3.93E-48
200403	ENSG00000168658	VWA3B	9.690285076	5.863832982	2.73E-50	4.18E-48
399694	ENSG00000185634	SHC4	5.267691788	4.606373552	3.21E-50	4.88E-48
10205	ENSG00000149573	MPZL2	-5.298759525	6.222691445	4.50E-50	6.79E-48
56159	ENSG00000120498	TEX11	9.043979135	4.037803726	4.53E-50	6.79E-48
118425	ENSG00000251321	PCAT4	-13.73893785	5.904042909	8.17E-50	1.22E-47
283197	ENSG00000181995	LINC00301	12.26680282	4.444147858	1.20E-49	1.78E-47
306	ENSG00000138772	ANXA3	-5.511463483	6.02068899	1.71E-49	2.51E-47
384	ENSG00000081181	ARG2	-5.564267946	5.932505023	2.06E-49	3.01E-47
341567	ENSG00000187166	H1-7	9.839011102	4.827177706	2.47E-49	3.58E-47
51087	ENSG00000006047	YBX2	7.96244224	8.009548376	3.37E-49	4.86E-47
